Edificio,IdAula,Piano,Oggetti
Macroarea di Lettere e Filosofia,Auditorium,0,Proiettore;Impianto Audio;Microfono;Poltrone;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula 2 - CampuSX,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula 4 - CampuSX,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula 5 - CampuSX,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula Moscati,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula P02,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula P03,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula P07,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula P08,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula P09,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula P10,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula P12,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula P24,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula P25,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula P26 B (Mediterraneo),1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula Roma,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula T12 A AULA ROSSA,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula T12 B AULA VERDE,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula T18,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula T19,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
